Name,Team,MoP,Age,Nationality
Rachmat Irianto,PERSIB Bandung,654,25,Indonesia
Rahmad Dandy Sonriza,Borneo FC Samarinda,160,22,Indonesia
Rahmat Arjuna Reski,Bali United FC,1747,21,Indonesia
Rahmat Beri Santoso,PS Barito Putera,277,21,Indonesia
Rahmat Syawal,PSIS Semarang,793,19,Indonesia
Raka Cahyana Rizky Satrio,PERSIJA Jakarta,309,21,Indonesia
Ramadhan,Semen Padang FC,194,23,Indonesia
Ramiro Ezequiel Fergonzi,PERSIK Kediri,2500,36,Argentina
Ramon Bueno Gozalbo,PERSIJA Jakarta,2124,30,Spain
Randy Hanson Christian May,PERSEBAYA Surabaya,82,24,Indonesia
Rangga Muslim Perkasa,Dewa United FC,62,31,Indonesia
Rasyid Assahid Bakri,PSM Makassar,3,34,Indonesia
Reiva Apriliansyah,PSIS Semarang,646,19,Indonesia
Relosa Rivan Satria Hutama,PSS Sleman,64,19,Indonesia
Renan Da Silva Alves,PS Barito Putera,1170,32,Brazil
Resky Fandi Witriawan,PERSIJA Jakarta,318,25,Indonesia
Reva Adi Utama,Dewa United FC,1495,28,Indonesia
Rezin Diop Wamu,PSS Sleman,6,22,Indonesia
Rian Miziar,PERSIS Solo,430,34,Indonesia
Ricardo Régis Aparecido de Lima,PERSIS Solo,591,31,Brazil
Ricki Ariansyah,Semen Padang FC,2109,27,Indonesia
Ricky Fajrin Saputra,Bali United FC,2317,29,Indonesia
Ricky Kambuaya,Dewa United FC,2060,29,Indonesia
Ricky Pratama,PSM Makassar,1329,22,Indonesia
Ricky Ricardo Cristian G. T. Cawor,Borneo FC Samarinda,222,27,Indonesia
Ricky Ricardo Cristian G. T. Cawor,PSS Sleman,369,27,Indonesia
Ridho Syuhada Putra,PSIS Semarang,1200,20,Indonesia
Rifal Lastori,Malut United FC,530,27,Indonesia
Rifky Dwi Septiawan,PERSITA Tangerang,1219,23,Indonesia
Rifqi Ray Farandi,PERSIK Kediri,797,20,Indonesia
Riki Togubu,Malut United FC,6,27,Indonesia
Riko Simanjuntak,PERSIJA Jakarta,728,33,Indonesia
Riko Simanjuntak,PSS Sleman,860,33,Indonesia
Ripal Wahyudi,PERSIS Solo,829,24,Indonesia
Risto Mitrevski,Dewa United FC,2536,33,North Macedonia
Riswan H Lauhim,PERSEBAYA Surabaya,451,26,Indonesia
Rivaldo Enero Pakpahan,Borneo FC Samarinda,1759,22,Indonesia
Riyan Ardiansyah,PSIS Semarang,2457,29,Indonesia
Riyatno Abiyoso,PERSIK Kediri,1446,26,Indonesia
Rizdjar Nurviat Subagja,Borneo FC Samarinda,46,19,Indonesia
Rizky Dwi Febrianto,PERSIS Solo,1689,28,Indonesia
Rizky Dwi Pangestu,PERSEBAYA Surabaya,638,26,Indonesia
Rizky Ridho Ramadhani,PERSIJA Jakarta,2704,23,Indonesia
Rizky Rizaldi Pora,PS Barito Putera,1196,35,Indonesia
Roberto Pimenta Vinagre Filho,PSS Sleman,2005,33,Brazil
Robi Darwis,PERSIB Bandung,687,21,Indonesia
Roger Bonet Badia,PSIS Semarang,1820,30,Spain
Rohit Chand,PERSIK Kediri,1534,33,Nepal
Ronaldo Rodrigues de Souza,Borneo FC Samarinda,1981,32,Brazil
Rosad Setiawan,Semen Padang FC,2159,28,Indonesia
Rosembergne da Silva,Borneo FC Samarinda,2131,28,Brazil
Rui Angelo Aiboy,PSBS Biak,30,21,Indonesia
Ryan Kurnia,PERSIB Bandung,659,28,Indonesia
Ryo Matsumura,PERSIJA Jakarta,2577,30,Japan
Ryohei Michibuchi,Semen Padang FC,1058,30,Japan
Ryuji Utomo Prabowo,PERSITA Tangerang,1328,29,Indonesia
Safrudin Tahar,Malut United FC,2858,31,Indonesia
Salim Akbar Tuharea,AREMA FC,1384,21,Indonesia
Samuel Gideon Balinsa,AREMA FC,797,31,Indonesia
Sandi Arta Samosir,Madura United FC,92,23,Indonesia
Sandro Sene Aníbal Embalo,PERSITA Tangerang,1177,29,Portugal
Satria Tama Hardianto,PS Barito Putera,2042,28,Indonesia
Septian David Maulana,PSIS Semarang,2261,28,Indonesia
Septian Satria Bagaskara,Dewa United FC,1103,27,Indonesia
Sho Yamamoto,PERSIS Solo,2668,28,Japan
Sin Yeong Bae,PERSITA Tangerang,2349,32,South Korea
Slavko Damjanovic,PERSEBAYA Surabaya,2473,32,Montenegro
Sneyder Julián Guevara Muñoz,AREMA FC,2028,33,Colombia
Sonny Ricardo Marciano,Dewa United FC,3150,32,Netherlands
Sony Norde,Malut United FC,998,35,Haiti
Stefano Jantje Lilipaly,Borneo FC Samarinda,1603,35,Indonesia
Sudi Abdallah,PSIS Semarang,960,25,Burundi
Sukandar Rumidi Kansai,PSBS Biak,90,21,Indonesia
Sulthan Zaky Pramana Putra Razak,PSM Makassar,22,19,Indonesia
Sutanto Tan,PERSIS Solo,1719,31,Indonesia
Syaeful Anwar,AREMA FC,326,30,Indonesia
Syahrian Abimanyu,PERSIJA Jakarta,530,26,Indonesia
Syahrul Ramadhan Lasinari,PSM Makassar,2547,25,Indonesia
Syahrul Trisna Fadillah,PSIS Semarang,1415,29,Indonesia
Taisei Marukawa,Dewa United FC,2757,27,Japan
Takuya Matsunaga,PSBS Biak,1983,34,Japan
Tamirlan Kozubaev,PERSITA Tangerang,1325,30,Kyrgistan
Tatsuro Nagamatsu,Malut United FC,397,30,Japan
Taufee Skandari,PSIS Semarang,313,26,Afghanistan
Taufik Hidayat,Bali United FC,29,25,Indonesia
Taufik Hidayat,Bali United FC,29,32,Indonesia
Taufik Hidayat,Madura United FC,2120,25,Indonesia
Taufik Hidayat,Madura United FC,2120,32,Indonesia
Tegar Infantrie Sukamto,PS Barito Putera,730,26,Indonesia
Teguh Amiruddin,Semen Padang FC,810,31,Indonesia
Teja Paku Alam,PERSIB Bandung,630,31,Indonesia
Terens Owang Priska Puhiri,Borneo FC Samarinda,689,28,Indonesia
Thales Natanael Lira de Matos,AREMA FC,2467,32,Brazil
Theo Fillo B.D. Numberi,Dewa United FC,459,23,Indonesia
Thomas Wandikbo,PSBS Biak,46,22,Indonesia
Tin Martic,Semen Padang FC,2558,29,Croatia
Tito Okello,PSM Makassar,576,28,Uganda
Todd Rivaldo Albert Ferre,PSBS Biak,657,26,Indonesia
Toni Firmansyah,PERSEBAYA Surabaya,1092,20,Indonesia
Tri Setiawan,PSIS Semarang,1640,21,Indonesia
Tyronne Gustavo del Pino Ramos,PERSIB Bandung,2451,34,Spain
Vava Mario Yagalo,PERSIK Kediri,1169,32,Indonesia
Victor Chukwuekezie Igbonefo,PERSIB Bandung,184,39,Indonesia
Victor Jonson Benjamin Dethan,PSM Makassar,1506,20,Indonesia
Victor Luiz Prestes Filho,PSM Makassar,2748,27,Brazil
Vinicius Duarte,PSS Sleman,1231,28,Brazil
Wagner Augusto Guimarães dos Santos,Madura United FC,1260,27,Brazil
Wagner Augusto Guimarães dos Santos,Malut United FC,1350,27,Brazil
Wahyu Prasetyo,Malut United FC,2398,27,Indonesia
Wahyudi Setiawan Hamisi,PSS Sleman,1117,27,Indonesia
Wawan Hendrawan,PS Barito Putera,120,42,Indonesia
Wbeymar Angulo Mosquera,Malut United FC,2926,33,Armenia
Wiliam Moreira da Silva Marcilio,AREMA FC,1269,28,Indonesia
Williams José Lugo Ladera,PSBS Biak,1980,28,Venezuela
Witan Sulaeman,PERSIJA Jakarta,1164,23,Indonesia
Yabes Roni Malaifani,Bali United FC,1144,30,Indonesia
Yakob Sayuri,Malut United FC,2178,27,Indonesia
Yance Sayuri,Malut United FC,2734,27,Indonesia
Yandi Sofyan Munawar,Malut United FC,92,33,Indonesia
Yandi Sofyan Munawar,PERSIJA Jakarta,162,33,Indonesia
Yardan Yafi,PERSITA Tangerang,1300,21,Indonesia
Yohanes Kandaimu,PSBS Biak,63,29,Indonesia
Youssef Ezzejjari Lhasnaoui,Madura United FC,805,32,Spain
Youssef Ezzejjari Lhasnaoui,PS Barito Putera,533,32,Spain
Yuda Editya Pratama,Madura United FC,5,20,Indonesia
Yuran Fernandes Rocha Lopes,PSM Makassar,2159,30,Cape Verde
Yusef Elias Dolah,Bali United FC,2519,32,Thailand
Yusuf Meilana Fuad Burhani,PERSIK Kediri,2175,27,Indonesia
Yuswanto Aditya,PS Barito Putera,926,25,Indonesia
Zalnando,PERSIB Bandung,354,28,Indonesia
Zalnando,PSIS Semarang,820,28,Indonesia
Zanadin Fariz,PERSIS Solo,1214,20,Indonesia
Zico Uldha Febrianatta,PSIS Semarang,8,23,Indonesia
Zidane Pramudiya Affandi,Semen Padang FC,958,23,Indonesia
Zikri Ferdiansyah,PERSIK Kediri,45,21,Indonesia
Zulkifli Yahya,Semen Padang FC,45,20,Indonesia
