Name,Team,MoP,Age,Nationality
Ibrahim Sanjaya,Madura United FC,1116,27,Indonesia
Ifan Nanda Pratama,PSS Sleman,525,24,Indonesia
Igor Carreira Rodrigues,PERSITA Tangerang,2520,30,Portugal
Ikechukwu Kenneth Ngwoke,Semen Padang FC,784,32,Nigeria
Ikhsan Nul Zikrak,Borneo FC Samarinda,470,22,Indonesia
Ikwan Ali Tanamal	,PERSITA Tangerang,1022,21,Indonesia
Ilham Rio Fahmi,PERSIJA Jakarta,1857,23,Indonesia
Ilham Zusril Mahendra,PS Barito Putera,60,28,Indonesia
Iran da Conceição Gonçalves Júnior,Madura United FC,1883,29,Brazil
Irfan Jauhari,PERSIS Solo,914,24,Indonesia
Irfan Jaya,Bali United FC,2359,29,Indonesia
Irkham Zahrul Mila,PSS Sleman,188,27,Indonesia
Irkham Zahrul Mila,Semen Padang FC,799,27,Indonesia
Irsan Rahman Lestaluhu,Malut United FC,4,25,Indonesia
Irsyad Maulana,PERSITA Tangerang,738,31,Indonesia
Jack Alan Brown,PERSITA Tangerang,650,23,Indonesia
Jaime José Moreno Ciorciari,PS Barito Putera,1141,30,Venezuela
Jaimerson Da Silva Xavier,Bali United FC,641,35,Brazil
Jaimerson Da Silva Xavier,PSBS Biak,578,35,Brazil
Jan Carlos Vargas Campos,Semen Padang FC,766,30,Chile
Javlon Guseynov,PERSITA Tangerang,2528,33,Uzbekistan
Jayus Hariono,AREMA FC,151,28,Indonesia
Jayus Hariono,PSS Sleman,933,28,Indonesia
Jeam Kelly Sroyer,PSBS Biak,1880,22,Indonesia
Jean Marie Privat Befolo Mbarga,Bali United FC,2704,33,Cameroon
Jesus María Meneses Sabater,Malut United FC,1385,30,Indonesia
Jesus María Meneses Sabater,PS Barito Putera,1129,30,Indonesia
Jhon Cley Jesus Silva Coelho,PERSIS Solo,1162,31,Brazil
Jhon Rericnal Pigai,PSBS Biak,2644,25,Indonesia
Joao Vitor Ferrari Silva,PSIS Semarang,3052,27,Brazil
Johan Ahmat Farizi,AREMA FC,2348,35,Indonesia
Jonata Felipe ,PSBS Biak,2724,25,Brazil
Jonathan Ezequiel Bustos,Malut United FC,309,30,Argentina
Jordy Hendrik Nicolaus Wehrmann,Madura United FC,2835,26,Netherlands
Jordy Soleman Gradus Tutuarima,PERSIS Solo,887,32,Belanda
Jorge Iván Correa,Malut United FC,1046,32,Argentina
Jose Brandao Gonçalves Júnior,Malut United FC,447,30,Brazil
José Cleylton de Morais dos Santos,PERSIS Solo,1093,32,Brazil
Jose Pedro Magalhaes Valente ,PERSIK Kediri,2306,31,Portugal
Julián Alberto Velázquez,PSBS Biak,2459,34,Argentina
Kadek Arel Priyatna,Bali United FC,1452,20,Indonesia
Kadek Lanang Agus Surya Artayana,Bali United FC,187,22,Indonesia
Kadek Raditya Maheswara,PERSEBAYA Surabaya,2241,25,Indonesia
Kakang Rudianto,PERSIB Bandung,1932,22,Indonesia
Karel Ridzald Iek,PSM Makassar,231,21,Indonesia
Karim Rossi,PERSIS Solo,711,31,Swiss
Kartika Vedhayanto Putra,Madura United FC,285,23,Indonesia
Kei Hirose,Borneo FC Samarinda,2661,29,Japan
Kenzo Nambu,Bali United FC,452,32,Japan
Kenzo Nambu,Borneo FC Samarinda,384,32,Japan
Kerim Palic,Madura United FC,948,28,Bosnia
Kevin Gomes De Oliveira,PSS Sleman,2455,26,Indonesia
Kevin Ray Mendoza Hansen,PERSIB Bandung,2327,31,Philippines
Kim Jeffrey Kurniawan,PSS Sleman,89,35,Indonesia
Kim Mingyu,Semen Padang FC,1625,25,South Korea
Koko Ari Araya,Madura United FC,2086,25,Indonesia
Komang Teguh Trisnanda,Borneo FC Samarinda,447,23,Indonesia
Komang Tri Arta Wiguna,Bali United FC,200,24,Indonesia
Krisna Bayu Otto Kartika,PERSIK Kediri,1357,26,Indonesia
Kurniawan Kartika Ajie,PERSITA Tangerang,540,28,Indonesia
Latyr Fall,PSM Makassar,2546,30,Senegal
Lautaro José Belleggia,PERSIS Solo,994,28,Argentina
Leo Guntara,Borneo FC Samarinda,2124,30,Indonesia
Leonardo Andriel dos Santos,Borneo FC Samarinda,1362,23,Japan
Leonardo Navacchio,PERSIK Kediri,2520,32,Brazil
Levy Clément Madinda,PS Barito Putera,2414,32,Gabon
Lucas Barreto,PSIS Semarang,2329,30,Brazil
Lucas Gama Moreira,PS Barito Putera,1080,31,Brazil
Lucas Henrique Frigeri,AREMA FC,2879,35,Brazil
Lucas Morelatto da Cruz,PS Barito Putera,2347,31,Brazil
Lucas Salinas Spinola ,Borneo FC Samarinda,60,29,Brazil
Luiz Marcelo Morais dos Reis,Madura United FC,2292,35,Brazil
M Anwar Rifa'i,AREMA FC,477,24,Indonesia
M Rio Saputro,Malut United FC,48,29,Indonesia
M. Rafly I. Selang,Malut United FC,46,20,Indonesia
Maciej Jacek Gajos,PERSIJA Jakarta,2584,34,Poland
Mailson Lima Duarte Lopes,PERSIB Bandung,430,30,Brazil
Majed Sobhi Osman,PERSIK Kediri,1883,30,Lebanon
Malik Risaldi,PERSEBAYA Surabaya,1753,28,Indonesia
Manahati Lestusen,Malut United FC,1741,31,Indonesia
Mansaray Victor Nabay,Malut United FC,546,28,United States of America
Maouri Ananda Yves Ramli Simon,Bali United FC,7,18,Indonesia
Marc Anthony Klok,PERSIB Bandung,2165,32,Indonesia
Marcelo Barbosa Junior,PERSITA Tangerang,243,33,Brazil
Marcelo Cirino da Silva,PSS Sleman,641,33,Brazil
Marckho Sandi Merauje,PSBS Biak,2276,30,Indonesia
Marco João Costa Baixinho,Semen Padang FC,134,35,Portugal
Mariano Ezequiel Peralta Bauer,Borneo FC Samarinda,2891,27,Argentina
Mario Jardel,PERSITA Tangerang,2715,24,Indonesia
Marios Ogkmpoe,PERSITA Tangerang,2178,30,Yunani
Mariyo Fabiyo Londok,PSBS Biak,180,27,Indonesia
Marko Simic,PERSIJA Jakarta,1314,37,Croatia
Marsel Yusuf Usemahu,Madura United FC,200,27,Indonesia
Mateo Kocijan,PERSIB Bandung,1574,30,Croatia
Matheus Antonio Souza dos Santos,Borneo FC Samarinda,957,29,Brazil
Matheus Vieira da Silva,PSM Makassar,250,27,Brazil
Maxuel de Cassio da Silva,Madura United FC,1382,25,Brazil
Melcior Leideker Majefat,Semen Padang FC,460,31,Indonesia
Melvis Uaga,PSBS Biak,3,23,Indonesia
Meshaal Hamzah Bashier Osman,PSBS Biak,103,20,Indonesia
Miftah Anwar Sani,Madura United FC,57,29,Indonesia
Miftah Anwar Sani,Semen Padang FC,280,29,Indonesia
Mikael Alfredo Tata,PERSEBAYA Surabaya,1015,21,Indonesia
Miljan Skrbic,Madura United FC,650,29,Serbia
Miswar Saputra,Madura United FC,1126,29,Indonesia
Mitsuru Maruoka,Bali United FC,1300,29,Japan
Mochamad Shulton Fajar,AREMA FC,404,31,Indonesia
Mochammad Diky Indriyana,Semen Padang FC,720,27,Indonesia
Mochammad Mierza Firjatullah,PERSIK Kediri,1,16,Indonesia
Mochammad Sandy Ferizal,PSIS Semarang,668,26,Indonesia
Mochammad Supriadi,PERSIK Kediri,192,23,Indonesia
Mochammad Zaenuri,PERSIS Solo,681,29,Indonesia
Moh. Sidik Saimima,Bali United FC,674,27,Indonesia
Mohammad Edo Febriansyah,PERSIB Bandung,2483,27,Indonesia
Mohammad Haykal Alhafiz,PSIS Semarang,1697,24,Indonesia
Mohammad Khanafi,PERSIK Kediri,1072,28,Indonesia
Mohammed Bassim Ahmed Rashid,PERSEBAYA Surabaya,2543,29,Palestine
Moussa Sidibe,PERSIS Solo,2251,30,Mali
Muchamad Wildan Ramdhani Nugraha,PSIS Semarang,568,26,Indonesia
Muh Mufli Hidayat,PSM Makassar,359,19,Indonesia
Muh. Dwiky Hardiansyah,Borneo FC Samarinda,367,21,Indonesia
Muhamad Firli,PS Barito Putera,1065,25,Indonesia
Muhamad Ilham Syah,Madura United FC,1265,25,Indonesia
Muhamad Kasim Botan,PERSEBAYA Surabaya,866,28,Indonesia
Muhamad Ridwan,Semen Padang FC,126,24,Indonesia
Muhamad Riyandi,PERSIS Solo,2340,25,Indonesia
Muhamad Zahaby Gholy,PERSIJA Jakarta,2,16,Indonesia
Muhammad Abduh Lestaluhu,PSS Sleman,1426,31,Indonesia
Muhammad Adi Satryo,PSIS Semarang,1394,23,Indonesia
Muhammad Adzikry Fadlillah,PERSIB Bandung,11,22,Indonesia
Muhammad Aimar Iskandar Alam,PS Barito Putera,188,21,Indonesia
Muhammad Akbar Arjunsyah,PERSIJA Jakarta,67,23,Indonesia
Muhammad Alfharezzi Buffon,Borneo FC Samarinda,263,19,Indonesia
Muhammad Alwi Fadilah,PERSIJA Jakarta,28,21,Indonesia
Muhammad Alwi Slamat,Malut United FC,1154,26,Indonesia
Muhammad Andy Harjito,Borneo FC Samarinda,12,23,Indonesia
Muhammad Ardiansyah,PSM Makassar,316,22,Indonesia
Muhammad Arham Darmawan,PSM Makassar,19,18,Indonesia
Muhammad Aulia Rahman Arif,PSIS Semarang,180,18,Indonesia
Muhammad Badrian Ilham,PERSITA Tangerang,959,22,Indonesia
Muhammad Bagus Nirwanto,Malut United FC,47,32,Indonesia
Muhammad Buyung Ismu Lessy,PS Barito Putera,744,27,Indonesia
Muhammad Daffa Salman Zahran Sidik,PSM Makassar,631,24,Indonesia
Muhammad Darel Valentino Erlangga,Malut United FC,240,20,Indonesia
Muhammad Dimas Drajad,PERSIB Bandung,673,28,Indonesia
Muhammad Dzaky Asraf Huwaidi,PSM Makassar,184,22,Indonesia
Muhammad Fahri,Malut United FC,1170,24,Indonesia
Muhammad Fajar Fathurrahman,Borneo FC Samarinda,2819,22,Indonesia
Muhammad Faqih Maulana,PERSIS Solo,578,20,Indonesia
Muhammad Faqih Maulana,PSIS Semarang,227,20,Indonesia
Muhammad Ferarri,PERSIJA Jakarta,1683,21,Indonesia
Muhammad Hidayat,PERSEBAYA Surabaya,31,29,Indonesia
Muhammad Iksan Lestaluhu ,AREMA FC,382,21,Indonesia
Muhammad Iqbal,Semen Padang FC,491,24,Indonesia
Muhammad Iqbal Gwijangge,PS Barito Putera,763,18,Indonesia
Muhammad Kemaluddin,Madura United FC,336,26,Indonesia
Muhammad Luthfi Kamal Baharsyah,Bali United FC,242,26,Indonesia
Muhammad Rafli,AREMA FC,475,26,Indonesia
Muhammad Rahmat,Bali United FC,737,36,Indonesia
Muhammad Ramadhan Sananta,PERSIS Solo,1616,22,Indonesia
Muhammad Rayhan Hannan,PERSIJA Jakarta,1011,21,Indonesia
Muhammad Reza Arya Pratama,PSM Makassar,1530,25,Indonesia
Muhammad Rezaldi Hehanusa,PERSIB Bandung,56,29,Indonesia
Muhammad Ridwan,Malut United FC,90,34,Indonesia
Muhammad Rifad Marasabessy,AREMA FC,485,25,Indonesia
Muhammad Riski Afrisal,Madura United FC,1037,19,Indonesia
Muhammad Rizky Darmawan,PSIS Semarang,247,31,Indonesia
Muhammad Rizky Eka Pratama,PSM Makassar,1739,25,Indonesia
Muhammad Salman Alfarid,PSBS Biak,696,23,Indonesia
